Year,quarter,ukos,mode,country,purpose,package,Age,Sex,duration,visits,nights,spend,sample
Year,1,1,1,10,2,1,3,1,2,"6,017.55","32,320.10","91,01,925.08",5
Year,1,1,1,10,2,1,3,2,2,"1,912.10","9,560.51","15,29,681.60",1
Year,1,1,1,10,2,1,4,1,1,"1,675.52","3,351.04","6,70,207.20",2
Year,1,1,1,10,2,1,4,1,2,"1,747.97","6,991.88","6,33,443.73",3
Year,1,1,1,10,2,1,4,1,4,"1,529.68","47,420.14","22,94,523.00",1
Year,1,1,1,10,2,1,4,2,1,657.661,"1,972.98","6,57,661.00",1
2016,1,1,1,10,2,1,5,1,1,"1,055.45","3,166.34","21,108.92",1
2016,1,1,1,10,2,1,5,1,2,"1,920.15","9,600.75","22,54,254.93",1
2016,1,1,1,10,2,1,5,2,1,837.759,837.759,"5,40,354.56",1
2016,1,1,1,10,2,1,5,2,2,"1,508.46","7,709.35","17,26,127.10",2
2016,1,1,1,10,2,1,6,1,0,299.634,0,"2,397.07",1
2016,1,1,1,10,2,1,6,1,1,"1,055.45","1,055.45","1,65,705.02",1
2016,1,1,1,10,2,1,6,2,1,837.759,"2,513.28","1,67,551.80",1
2016,1,1,1,10,4,1,2,1,3,"1,617.74","33,972.60","7,02,100.46",1
2016,1,1,1,10,4,1,2,2,1,"1,380.07","3,557.53","34,961.10",2
2016,1,1,1,10,4,1,2,2,3,839.355,"20,983.88","3,03,007.16",1
2016,1,1,1,10,4,1,2,2,4,"1,617.74","67,945.21","5,84,005.22",1
2016,1,1,1,10,4,1,3,1,2,"1,206.60","9,224.29","1,76,626.11",2
2016,1,1,1,10,4,1,3,1,3,839.355,"12,590.33","16,787.10",1
2016,1,1,1,10,4,1,3,2,2,647.841,"5,182.73","6,47,841.00",1
2016,1,1,1,10,4,1,4,1,2,837.759,"3,351.04","2,74,784.95",1
2016,1,1,1,10,4,1,4,2,2,"2,341.89","16,400.88","3,21,762.35",2
2016,1,1,1,10,4,1,4,2,4,839.355,"23,501.94",0,1
2016,1,1,1,10,4,1,6,1,2,"1,165.37","8,157.59","5,61,125.66",2
2016,1,1,1,10,4,2,3,2,2,"1,687.12","6,748.47","17,64,724.38",1
2016,1,1,1,10,4,2,6,1,2,"1,529.68","7,648.41","18,09,613.81",1
2016,1,1,1,10,5,2,3,2,1,"1,912.10","5,736.31","4,66,552.89",1
2016,1,1,1,11,1,1,1,1,2,"1,055.45","8,443.57","3,34,576.38",1
2016,1,1,1,11,1,1,2,1,1,"1,476.95","3,903.79","3,11,139.23",2
2016,1,1,1,11,1,1,2,2,1,"2,232.40","5,953.06","5,50,657.68",3
2016,1,1,1,11,1,1,2,2,2,620.109,"3,100.55","1,55,027.25",1
2016,1,1,1,11,1,1,3,1,1,649.175,"1,947.53","1,56,451.18",1
2016,1,1,1,11,1,1,3,1,3,616.717,"12,951.06","89,423.97",1
2016,1,1,1,11,1,1,3,2,2,"1,912.10","7,648.41","2,39,012.75",1
2016,1,1,1,11,1,1,6,2,1,"2,188.49","6,565.46","6,20,763.61",2
2016,1,1,1,11,1,1,7,1,4,981.228,"48,080.17","17,17,149.00",1
2016,1,1,1,11,1,1,7,2,1,920.723,"2,762.17","3,22,253.05",1
2016,1,1,1,11,2,1,2,1,1,949.901,"2,849.70","9,49,901.00",1
2016,1,1,1,11,2,1,3,1,1,"2,286.73","5,544.87","8,31,823.61",3
2016,1,1,1,11,2,1,3,2,2,649.175,"2,596.70","3,75,223.15",1
2016,1,1,1,11,2,1,4,1,1,"4,097.01","7,577.30","7,88,111.76",4
2016,1,1,1,11,2,1,4,2,0,"1,317.04",0,"2,05,458.08",1
2016,1,1,1,11,2,1,4,2,1,"2,036.67","3,092.12","9,81,389.53",2
2016,1,1,1,11,2,1,5,1,0,"1,317.04",0,"65,851.95",1
2016,1,1,1,11,2,1,5,1,1,"7,241.70","11,795.52","9,73,038.24",9
2016,1,1,1,11,2,1,5,1,2,616.717,"3,083.59","12,334.34",1
2016,1,1,1,11,2,1,5,2,1,"3,260.81","5,223.26","12,34,682.15",4
2016,1,1,1,11,2,1,6,1,0,"1,704.62",0,"7,388.12",2
2016,1,1,1,11,2,1,6,1,1,"2,986.58","3,936.48","8,05,913.56",3
2016,1,1,1,11,4,1,3,1,1,"1,317.04","2,634.08","51,364.52",1
2016,1,1,1,11,4,1,3,1,2,466.195,"1,864.78","2,17,713.07",1
2016,1,1,1,11,4,1,3,2,3,649.175,"9,737.63","3,24,587.50",1
2016,1,1,1,11,4,1,6,1,1,"1,317.04","3,951.12","2,38,384.06",1
2016,1,1,1,11,4,2,6,1,1,"1,055.45","3,166.34","4,58,063.56",1
2016,1,1,1,11,5,1,9,1,2,658.805,"2,635.22","1,17,926.10",1
2016,1,1,1,11,5,2,2,2,1,"1,055.45","3,166.34","2,58,584.27",1
2016,1,1,1,12,1,1,1,1,2,"1,638.13","11,466.92","5,16,274.03",2
2016,1,1,1,12,1,1,2,1,1,649.175,"1,947.53","1,01,271.30",1
2016,1,1,1,12,1,1,2,1,2,797.388,"6,379.10","2,39,216.40",1
2016,1,1,1,12,1,1,2,1,3,466.195,"7,925.32","1,86,478.00",1
2016,1,1,1,12,1,1,2,2,1,649.175,"1,947.53","64,917.50",1
2016,1,1,1,12,1,1,2,2,2,466.195,"2,330.98","93,239.00",1
2016,1,1,1,12,1,1,3,1,2,"3,059.36","16,826.50","10,29,475.99",2
2016,1,1,1,12,1,1,3,2,2,"3,390.66","25,283.75","17,01,673.04",4
2016,1,1,1,12,1,1,3,2,3,582.685,"8,740.28","1,45,671.25",1
2016,1,1,1,12,1,1,4,1,2,582.685,"4,078.80","1,92,868.74",1
2016,1,1,1,12,1,1,4,2,2,"1,638.13","10,521.40","6,36,714.65",2
2016,1,1,1,12,1,1,5,1,2,"1,125.00","4,966.20","5,49,005.53",2
2016,1,1,1,12,1,1,5,2,2,"1,055.45","5,277.23","2,11,089.20",1
2016,1,1,1,12,1,1,6,1,1,582.685,"1,165.37","1,45,671.25",1
2016,1,1,1,12,1,1,6,2,2,"1,202.83","8,419.80","5,01,579.69",1
2016,1,1,1,12,1,2,2,1,2,"2,461.17","17,228.22","15,29,598.71",4
2016,1,1,1,12,1,2,2,2,2,"1,532.59","8,245.62","7,15,878.60",2
2016,1,1,1,12,1,2,3,1,1,582.685,"1,748.06","3,47,280.26",1
2016,1,1,1,12,1,2,4,1,2,790.369,"5,532.58","3,68,311.95",1
2016,1,1,1,12,1,2,4,2,2,"1,587.76","11,114.30","9,45,716.35",2
2016,1,1,1,12,1,2,5,1,2,"3,037.95","21,265.68","17,42,717.36",3
2016,1,1,1,12,1,2,5,2,2,"1,706.01","11,942.06","11,01,194.19",2
2016,1,1,1,12,1,2,6,1,2,527.044,"3,689.31","3,41,524.51",1
2016,1,1,1,12,1,2,6,2,2,790.369,"5,532.58","4,72,640.66",1
2016,1,1,1,12,2,1,3,1,2,649.175,"2,596.70","2,14,876.93",1
2016,1,1,1,12,2,1,5,1,1,"1,447.42","4,342.27","2,66,174.85",2
2016,1,1,1,12,3,1,3,2,4,649.175,"38,301.33","26,70,705.95",1
2016,1,1,1,12,4,1,1,2,2,582.685,"5,826.85","77,497.11",1
2016,1,1,1,12,4,1,1,2,3,466.195,"6,526.73","1,55,242.94",1
2016,1,1,1,12,4,1,2,1,2,778.069,"3,112.28","2,33,420.70",1
2016,1,1,1,12,4,1,2,1,3,466.195,"6,526.73","4,66,195.00",1
2016,1,1,1,12,4,1,2,1,4,"1,048.88","34,147.08","6,38,628.40",2
2016,1,1,1,12,4,1,2,2,2,582.685,"5,826.85","1,74,805.50",1
2016,1,1,1,12,4,1,2,2,3,"2,892.12","54,741.64","12,55,991.33",3
2016,1,1,1,12,4,1,3,1,1,"3,277.74","9,250.53","14,13,118.23",4
2016,1,1,1,12,4,1,3,1,2,"3,420.22","30,856.89","13,08,368.72",5
2016,1,1,1,12,4,1,3,1,3,"1,127.66","15,787.17","1,12,765.50",1
2016,1,1,1,12,4,1,3,1,4,466.195,"13,985.85","1,16,548.75",1
2016,1,1,1,12,4,1,3,2,1,582.685,"1,748.06","1,16,537.00",1
2016,1,1,1,12,4,1,3,2,2,"5,121.34","49,003.98","16,94,141.58",9
2016,1,1,1,12,4,1,3,2,3,649.175,"9,737.63","12,98,350.00",1
2016,1,1,1,12,4,1,3,2,4,932.39,"27,039.31","3,72,956.00",2
2016,1,1,1,12,4,1,4,1,2,"2,252.66","13,206.38","9,36,252.50",3
2016,1,1,1,12,4,1,4,1,3,"3,698.18","69,014.63","21,79,435.55",5
2016,1,1,1,12,4,1,4,2,1,616.717,"1,850.15","92,507.55",1
2016,1,1,1,12,4,1,4,2,3,466.195,"6,526.73","1,55,242.94",1
2016,1,1,1,12,4,1,5,1,2,"2,341.98","17,559.24","15,56,306.20",3
2016,1,1,1,12,4,1,5,2,2,"2,578.56","17,467.25","6,42,157.40",3
2016,1,1,1,12,4,1,6,1,1,466.195,"1,398.59","46,619.50",1
2016,1,1,1,12,4,1,6,1,3,582.685,"8,157.59","2,91,342.50",1
2016,1,1,1,12,4,1,6,2,1,582.685,"1,165.37","1,04,883.30",1
2016,1,1,1,12,4,1,6,2,2,582.685,"5,244.17","58,268.50",1
2016,1,1,1,12,4,1,6,2,3,616.717,"12,951.06","5,18,042.28",1
2016,1,1,1,12,5,1,2,2,4,582.685,"22,142.03","4,87,707.35",1
2016,1,1,1,12,5,1,3,1,2,"1,707.69","11,953.80","5,16,354.25",3
2016,1,1,1,12,5,1,4,1,2,466.195,"5,594.34","1,39,858.50",1
2016,1,1,1,12,5,1,5,1,1,582.685,"1,165.37","29,134.25",1
2016,1,1,1,13,1,1,3,1,1,616.717,"1,850.15","1,77,614.50",1
2016,1,1,1,13,1,2,3,1,1,649.175,"1,298.35","1,38,923.45",1
2016,1,1,1,13,1,2,4,2,2,649.175,"3,245.88","1,88,909.93",1
2016,1,1,1,13,2,1,5,1,1,"1,514.45","3,028.91","3,01,376.35",2
2016,1,1,1,13,2,1,5,1,2,616.717,"3,083.59","2,78,756.08",1
2016,1,1,1,13,4,1,3,1,1,649.175,"1,947.53","1,29,835.00",1
2016,1,1,1,13,4,1,4,1,1,649.175,"1,947.53","64,917.50",1
2016,1,1,1,13,4,1,4,2,2,839.355,"3,357.42","4,19,677.50",1
2016,1,1,1,13,4,1,5,1,2,865.279,"5,191.67","2,16,319.75",1
2016,1,1,1,13,4,1,5,2,4,865.279,"51,916.74","8,08,170.59",1
2016,1,1,1,13,4,1,6,2,3,616.717,"10,484.19",0,1
2016,1,1,1,14,1,1,2,1,1,"6,385.04","16,302.63","18,66,349.37",8
2016,1,1,1,14,1,1,2,1,2,"3,147.90","16,409.78","14,45,420.49",4
2016,1,1,1,14,1,1,2,2,1,582.685,"1,748.06","1,84,711.15",1
2016,1,1,1,14,1,1,2,2,2,658.805,"2,635.22","1,91,053.45",1
2016,1,1,1,14,1,1,2,2,3,778.069,"17,117.52","6,38,016.58",1
2016,1,1,1,14,1,1,3,1,1,"9,708.92","25,492.42","43,01,618.31",10
2016,1,1,1,14,1,1,3,1,2,"3,104.94","14,642.39","12,59,344.18",4
2016,1,1,1,14,1,1,3,1,3,839.355,"15,108.39","6,06,853.67",1
2016,1,1,1,14,1,1,3,2,1,"2,567.33","6,923.91","7,21,925.69",3
2016,1,1,1,14,1,1,3,2,2,"3,184.16","16,092.65","14,33,414.29",4
2016,1,1,1,14,1,1,4,1,1,"1,782.51","5,347.54","5,26,743.09",2
2016,1,1,1,14,1,1,4,1,2,"2,523.97","12,619.87","26,98,555.78",2
2016,1,1,1,14,1,1,4,2,1,837.759,"2,513.28","1,39,905.75",1
2016,1,1,1,14,1,1,4,2,2,"1,114.04","6,320.92","2,46,116.95",2
2016,1,1,1,14,1,1,5,1,1,882.319,"2,646.96","2,78,166.07",2
2016,1,1,1,14,1,1,5,1,2,"3,682.69","34,634.08","16,35,488.24",2
2016,1,1,1,14,1,1,5,2,2,"2,731.78","13,943.44","7,19,231.85",3
2016,1,1,1,14,1,1,6,1,2,"2,843.33","19,903.33","21,32,499.75",1
2016,1,1,1,14,1,1,6,2,1,"1,563.82","1,563.82","4,61,326.02",1
2016,1,1,1,14,1,2,2,1,1,"3,311.11","9,933.32","8,21,626.55",3
2016,1,1,1,14,1,2,2,1,2,"3,491.17","13,964.70","10,78,808.60",2
2016,1,1,1,14,1,2,2,2,1,"2,457.10","7,371.29","10,82,229.00",2
2016,1,1,1,14,1,2,2,2,2,"2,589.13","10,356.52","5,68,493.87",2
2016,1,1,1,14,1,2,3,1,1,"4,521.39","10,189.93","10,34,259.36",4
2016,1,1,1,14,1,2,3,1,2,"1,687.12","13,496.94","3,66,104.39",1
2016,1,1,1,14,1,2,3,2,1,839.355,"2,518.07","1,81,300.68",1
2016,1,1,1,14,1,2,4,1,1,949.901,"1,899.80","2,05,178.62",1
2016,1,1,1,14,1,2,4,2,2,778.069,"3,112.28","2,34,198.77",1
2016,1,1,1,14,1,2,5,1,1,"1,185.85","3,557.55","3,35,199.98",2
2016,1,1,1,14,1,2,5,1,2,299.634,"1,198.54","1,07,868.24",1
2016,1,1,1,14,1,2,5,2,2,765.829,"3,063.32","2,73,232.63",2
2016,1,1,1,14,1,2,6,1,1,527.044,"1,581.13","2,38,223.89",1
2016,1,1,1,14,1,2,6,1,2,"1,055.45","4,221.78","2,84,970.42",1
2016,1,1,1,14,1,2,6,2,2,"2,843.33","11,373.33","7,59,169.91",1
2016,1,1,1,14,1,2,7,2,1,839.355,"2,518.07","1,88,015.52",1
2016,1,1,1,14,1,2,7,2,2,"1,617.74","6,470.97","4,85,322.90",1
2016,1,1,1,14,2,1,3,1,2,582.685,"2,330.74","1,31,686.81",1
2016,1,1,1,14,2,1,3,2,0,299.634,0,"14,981.70",1
2016,1,1,1,14,2,1,3,2,1,"2,211.74","4,123.84","6,22,696.35",2
2016,1,1,1,14,2,1,4,1,1,898.902,"1,498.17","1,25,846.28",3
2016,1,1,1,14,2,1,4,1,2,797.388,"3,986.94","4,48,929.44",1
2016,1,1,1,14,2,1,5,1,1,"5,038.15","10,087.91","18,75,871.07",5
2016,1,1,1,14,2,1,6,1,1,"2,326.55","5,492.46","4,24,181.81",3
2016,1,1,1,14,2,1,6,2,1,"1,420.44","3,095.96","3,54,364.89",2
2016,1,1,1,14,4,1,1,1,2,"1,687.12","11,809.82","1,13,036.84",1
2016,1,1,1,14,4,1,2,1,4,658.805,"19,105.35","3,29,402.50",1
2016,1,1,1,14,4,1,2,2,3,"3,235.49","58,238.75","35,26,679.74",2
2016,1,1,1,14,4,1,3,1,2,"1,824.18","10,868.93","5,01,060.81",3
2016,1,1,1,14,4,1,3,2,1,582.685,"1,748.06","1,75,388.19",1
2016,1,1,1,14,4,1,3,2,2,"4,915.19","42,370.59","15,15,154.77",5
2016,1,1,1,14,4,1,3,2,3,"1,496.56","22,627.41","7,31,829.28",2
2016,1,1,1,14,4,1,3,2,4,"1,360.75","77,967.61","5,34,981.10",2
2016,1,1,1,14,4,1,4,1,1,582.685,"1,748.06","5,82,685.00",1
2016,1,1,1,14,4,1,4,1,2,"1,867.36","7,469.44","3,59,466.62",2
2016,1,1,1,14,4,1,4,2,2,"1,826.95","12,243.79","3,57,609.11",3
2016,1,1,1,14,4,1,5,1,1,299.634,898.902,"29,963.40",1
2016,1,1,1,14,4,1,5,2,2,"1,055.45","7,388.12","3,16,633.80",1
2016,1,1,1,14,4,1,7,1,2,837.759,"3,351.04","83,775.90",1
2016,1,1,1,14,4,2,2,2,3,582.685,"9,905.65","3,44,949.52",1
2016,1,1,1,14,5,1,2,1,1,839.355,"2,518.07","77,220.66",1
2016,1,1,1,14,5,1,3,1,2,428.534,"1,714.14","1,28,560.20",1
2016,1,1,1,14,5,1,5,1,1,839.355,839.355,"1,40,172.29",1
2016,1,1,1,14,5,2,5,1,1,839.355,"2,518.07","2,43,412.95",1
2016,1,1,1,15,1,1,1,1,2,574.233,"2,871.17","1,53,320.21",1
2016,1,1,1,15,1,1,2,1,4,"1,165.13","33,788.65","6,31,498.29",1
2016,1,1,1,15,1,1,2,2,2,"2,030.71","14,214.98",0,1
2016,1,1,1,15,1,1,3,1,2,582.685,"2,330.74","1,63,151.80",1
2016,1,1,1,15,1,1,3,1,4,620.109,"17,983.16","6,20,109.00",1
2016,1,1,1,15,1,1,4,1,2,"2,380.63","18,063.80","4,53,192.06",2
2016,1,1,1,15,1,1,4,1,3,459.432,"11,026.37","5,51,318.40",1
2016,1,1,1,15,1,1,4,2,2,574.233,"2,296.93","1,21,163.16",1
2016,1,1,1,15,1,1,5,2,2,"3,405.90","27,364.65","11,10,787.15",5
2016,1,1,1,15,1,1,5,2,3,"1,078.31","22,644.51","3,50,450.75",1
2016,1,1,1,15,1,1,6,1,2,"2,720.59","21,374.36","52,62,309.83",3
2016,1,1,1,15,1,1,6,2,3,658.805,"9,223.27","3,59,048.73",1
2016,1,1,1,15,1,1,6,2,5,"2,030.71","2,05,101.91","14,68,204.78",1
2016,1,1,1,15,1,1,7,1,2,"4,227.11","24,560.33","36,65,071.26",4
2016,1,1,1,15,1,1,7,1,3,658.805,"17,128.93","3,29,402.50",1
2016,1,1,1,15,1,1,7,2,2,"3,246.08","24,445.23","12,61,583.80",3
2016,1,1,1,15,1,2,3,1,2,999.577,"4,997.89","91,961.08",1
2016,1,1,1,15,1,2,3,2,2,"1,024.40","8,195.17","5,09,124.81",1
2016,1,1,1,15,1,2,5,1,2,"2,298.84","16,091.87","10,96,198.12",3
2016,1,1,1,15,1,2,6,1,4,"1,610.43","45,092.04","32,33,743.44",1
2016,1,1,1,15,1,2,6,2,2,"3,683.26","24,634.32","13,32,087.74",3
2016,1,1,1,15,1,2,7,1,2,"2,957.64","24,656.33","17,29,841.23",4
2016,1,1,1,15,1,2,7,1,3,"1,459.01","24,641.73","9,51,565.26",2
2016,1,1,1,15,1,2,7,1,4,999.577,"41,982.23","16,00,322.78",1
2016,1,1,1,15,1,2,7,2,3,981.228,"20,605.79","6,42,704.34",1
2016,1,1,1,15,2,1,6,2,2,"2,030.71","16,245.70","21,83,015.40",1
2016,1,1,1,15,4,1,2,1,3,"1,861.81","38,617.50","3,64,856.04",2
2016,1,1,1,15,4,1,2,1,4,918.864,"30,322.51","2,32,472.59",2
2016,1,1,1,15,4,1,2,2,2,"2,030.71","14,214.98","2,03,071.20",1
2016,1,1,1,15,4,1,2,2,3,"2,423.80","49,326.54","4,78,183.11",2
2016,1,1,1,15,4,1,3,1,2,"1,078.31","8,626.48","2,46,932.99",1
2016,1,1,1,15,4,1,3,1,3,"1,399.40","29,387.40",0,1
2016,1,1,1,15,4,1,3,2,2,459.432,"2,297.16","91,886.40",1
2016,1,1,1,15,4,1,3,2,4,459.432,"14,701.82","45,943.20",1
2016,1,1,1,15,4,1,5,2,2,981.228,"9,812.28","1,53,071.57",1
2016,1,1,1,15,4,1,6,1,2,999.577,"3,998.31","2,16,908.21",1
2016,1,1,1,15,4,1,7,2,4,999.577,"34,985.20","28,89,777.11",1
2016,1,1,1,15,4,2,6,1,2,622.588,"4,358.12","2,15,415.45",1
2016,1,1,1,15,5,1,2,2,4,981.228,"34,342.98","1,00,57,587.00",1
2016,1,1,1,15,5,2,6,2,2,981.228,"9,812.28","12,63,821.66",1
2016,1,1,1,16,1,1,7,1,2,981.228,"6,868.60","2,72,781.38",1
2016,1,1,1,16,1,2,6,1,2,"2,243.44","15,704.05","14,77,505.87",2
2016,1,1,1,16,1,2,7,1,2,"1,078.31","7,548.17","2,53,402.85",1
2016,1,1,1,16,4,1,2,2,4,"1,024.40","28,683.09","2,04,879.20",1
2016,1,1,1,16,4,1,5,1,4,999.577,"30,986.89","19,99,154.00",1
2016,1,1,1,16,4,1,5,2,3,"1,078.31","25,879.44","14,14,742.72",1
2016,1,1,1,16,4,2,3,2,2,"1,399.40","9,795.80","6,04,540.80",1
2016,1,1,1,16,5,1,4,2,5,"1,399.40","1,94,516.60","2,09,91,000.00",1
2016,1,1,1,17,1,1,1,2,1,582.685,"1,165.37","81,575.90",1
2016,1,1,1,17,1,1,2,1,1,"3,435.17","8,557.46","10,78,514.03",4
2016,1,1,1,17,1,1,2,1,2,"1,165.37","5,826.85","3,96,225.80",2
2016,1,1,1,17,1,1,2,2,1,"3,356.76","9,487.60","5,97,964.07",5
2016,1,1,1,17,1,1,2,2,2,"4,014.97","23,113.55","21,71,281.70",5
2016,1,1,1,17,1,1,3,1,1,"6,040.29","9,971.68","13,44,705.95",7
2016,1,1,1,17,1,1,3,1,2,"1,962.76","9,599.09","3,60,346.15",3
2016,1,1,1,17,1,1,3,2,1,"7,469.59","19,094.09","20,65,432.01",12
2016,1,1,1,17,1,1,3,2,2,"2,988.40","15,899.57","10,49,791.39",5
2016,1,1,1,17,1,1,3,2,3,"2,108.90","31,633.46","13,70,783.05",1
2016,1,1,1,17,1,1,4,1,1,582.685,582.685,"87,402.75",1
2016,1,1,1,17,1,1,4,1,2,616.717,"4,933.74","3,63,246.31",1
2016,1,1,1,17,1,1,4,2,1,"1,165.37","2,330.74","1,77,136.24",2
2016,1,1,1,17,1,1,4,2,2,"1,638.13","7,717.89","6,30,602.70",2
2016,1,1,1,17,1,1,5,1,1,"1,360.75","4,082.26","2,28,276.08",2
2016,1,1,1,17,1,1,5,1,2,"2,146.60","17,018.90","11,06,924.33",3
2016,1,1,1,17,1,1,5,2,1,"2,406.86","6,055.21","8,44,684.60",4
2016,1,1,1,17,1,1,5,2,3,582.685,"13,401.76","1,83,545.78",1
2016,1,1,1,17,1,1,6,1,2,"2,553.61","13,869.55","4,92,466.68",3
2016,1,1,1,17,1,1,6,2,0,582.685,0,"40,787.95",1
2016,1,1,1,17,1,1,6,2,1,819.32,"1,638.64","1,22,898.00",1
2016,1,1,1,17,1,1,7,2,1,582.685,"1,165.37","2,33,074.00",1
2016,1,1,1,17,1,2,3,1,1,582.685,"1,748.06","2,52,302.61",1
2016,1,1,1,17,1,2,3,1,2,582.685,"2,330.74","1,71,892.08",1
2016,1,1,1,17,1,2,4,1,1,616.717,"1,233.43","76,472.91",1
2016,1,1,1,17,1,2,5,1,1,582.685,"1,748.06","93,812.29",1
2016,1,1,1,17,2,1,3,1,1,"3,764.29","7,779.96","15,32,206.08",5
2016,1,1,1,17,2,1,3,1,2,"1,277.77","5,768.74","2,22,853.70",2
2016,1,1,1,17,2,1,3,2,0,649.175,0,"12,983.50",1
2016,1,1,1,17,2,1,3,2,1,"2,679.28","3,728.16","9,41,554.73",4
2016,1,1,1,17,2,1,4,1,0,"1,317.04",0,"2,63,407.80",1
2016,1,1,1,17,2,1,4,1,1,"5,041.74","7,822.09","20,02,222.70",7
2016,1,1,1,17,2,1,4,1,2,649.175,"2,596.70","6,04,381.93",1
2016,1,1,1,17,2,1,4,1,3,620.109,"9,301.64","12,09,212.55",1
2016,1,1,1,17,2,1,4,2,0,"2,279.58",0,"49,061.40",3
2016,1,1,1,17,2,1,4,2,1,"2,742.56","7,172.24","9,22,508.38",2
2016,1,1,1,17,2,1,5,1,0,"2,758.07",0,"27,580.72",2
2016,1,1,1,17,2,1,5,1,1,"5,019.75","7,493.40","19,36,106.17",6
2016,1,1,1,17,2,1,5,1,2,"2,580.30","12,221.02","13,94,015.23",3
2016,1,1,1,17,2,1,5,2,0,"2,108.90",0,"94,900.37",1
2016,1,1,1,17,2,1,5,2,1,649.175,649.175,"97,376.25",1
2016,1,1,1,17,2,1,5,2,2,649.175,"2,596.70","64,91,750.00",1
2016,1,1,1,17,2,1,6,1,1,"1,115.37","2,230.74","6,42,605.83",2
2016,1,1,1,17,2,1,6,1,2,"1,055.45","4,221.78","9,82,620.23",1
2016,1,1,1,17,3,1,2,1,5,839.355,"1,40,172.29","48,68,259.00",1
